,,,time,time,std_time,std_time,error,error
,,,mean,std,mean,std,mean,std
ode_method,stations_per_cell,delta_t_ratio,,,,,,
BDF,5,0.025,1256.7914519260762,544.8096768638709,4406.993968514521,2739.550402043824,0.002586100646244397,0.0004149607678914106
BDF,5,0.05,703.730904351819,300.22102837452314,4406.993968514521,2739.550402043824,0.004053238932327782,0.0006305157829468399
BDF,5,0.1,409.9890397160294,173.4030112410779,4406.993968514521,2739.550402043824,0.006149509516162997,0.0009030812606977199
BDF,10,0.025,2288.662697546888,982.4104982296915,4406.993968514521,2739.550402043824,0.002485745369024226,0.0003940659276427078
BDF,10,0.05,1279.9088193922676,539.5341179168709,4406.993968514521,2739.550402043824,0.003885226885181388,0.0005945333168854814
BDF,10,0.1,726.2053275003111,299.6467256373917,4406.993968514521,2739.550402043824,0.005944618960700622,0.000844809442726515
BDF,15,0.025,3705.188549756885,3254.044277195065,4406.993968514521,2739.550402043824,0.002397627244272521,0.0003787422020284431
BDF,15,0.05,2093.5779700397024,1824.255164760203,4406.993968514521,2739.550402043824,0.0037312664699688555,0.0005694849751874576
BDF,15,0.1,1128.3869993841085,763.5538925086984,4406.993968514521,2739.550402043824,0.005763303693959364,0.0008306567764532778
RK45,5,0.025,68.59385006149664,26.051462946909748,81.52713268218464,42.372279994176104,0.002592307395043556,0.00041439503972758057
RK45,5,0.05,54.43093074892518,22.036437563043272,81.52713268218464,42.372279994176104,0.004059239211224999,0.0006285246277654848
RK45,5,0.1,43.29524809559728,17.977940146023606,81.52713268218464,42.372279994176104,0.006154599814031801,0.0009028764500973402
RK45,10,0.025,110.93925503168933,69.64031466169675,81.52713268218464,42.372279994176104,0.002495585957963052,0.0003971039684310679
RK45,10,0.05,93.62334719948413,64.73343325298353,81.52713268218464,42.372279994176104,0.0038925147300446837,0.0005980821497103943
RK45,10,0.1,77.06146273470922,56.165432449434185,81.52713268218464,42.372279994176104,0.0059490481141629995,0.0008472029270272261
RK45,15,0.025,139.67533148179925,88.47708923287658,81.52713268218464,42.372279994176104,0.002406557479522299,0.0003772861761730915
RK45,15,0.05,121.1839422390881,84.07934422603654,81.52713268218464,42.372279994176104,0.003744633380748566,0.0005728690724627368
RK45,15,0.1,101.04893156424606,73.36014177908916,81.52713268218464,42.372279994176104,0.00576656706571789,0.0008323470851759606
